Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Study_Efficiency
22,86,1,2,1,7,72,1,1,3,1,3.0,0,1,2,0,1.0,2.0,1,68,2.75
9,77,2,2,0,5,57,2,1,2,2,3.0,0,0,3,0,1.0,1.0,1,63,1.5
22,71,1,2,1,7,65,1,1,1,2,1.0,0,1,4,0,2.0,2.0,1,64,2.75
18,68,3,2,0,7,72,2,1,0,2,2.0,0,0,3,0,2.0,1.0,1,64,2.25
16,86,1,2,1,8,63,2,1,2,2,2.0,0,1,4,0,1.0,1.0,1,67,1.7777777777777777
24,77,3,1,0,8,96,2,1,0,2,2.0,0,0,3,0,1.0,1.0,0,67,2.6666666666666665
26,67,2,3,1,7,51,1,1,2,3,3.0,1,0,4,1,3.0,3.0,0,66,3.25
26,88,2,3,1,5,79,2,1,1,1,3.0,1,1,4,0,2.0,2.0,1,72,4.333333333333333
15,83,2,3,0,5,89,1,0,1,2,3.0,0,0,2,1,1.0,1.0,0,65,2.5
18,94,2,2,1,6,87,3,1,1,2,2.0,0,1,4,0,1.0,1.0,1,71,2.5714285714285716
22,65,3,1,0,8,82,2,1,2,2,3.0,0,1,1,0,3.0,1.0,0,66,2.4444444444444446
26,91,2,1,1,8,71,2,1,0,1,2.0,1,0,3,0,1.0,2.0,1,68,2.888888888888889
17,87,2,2,0,7,96,2,1,1,3,2.0,0,-1,5,0,3.0,1.0,0,70,2.125
19,65,2,2,1,10,66,1,1,0,1,2.0,0,1,3,0,1.0,2.0,1,62,1.7272727272727273
13,88,1,3,1,9,88,3,1,2,1,3.0,1,-1,4,0,3.0,3.0,1,68,1.3
13,78,2,3,1,9,96,3,1,2,1,2.0,0,0,3,0,2.0,2.0,1,67,1.3
25,98,1,3,1,8,56,2,0,0,2,3.0,1,0,3,0,3.0,1.0,1,71,2.7777777777777777
28,66,2,3,1,8,97,2,1,0,2,2.0,0,0,2,0,1.0,1.0,1,68,3.111111111111111
20,86,2,2,1,8,89,2,1,1,1,2.0,0,-1,3,0,3.0,1.0,1,69,2.2222222222222223
26,75,1,3,1,4,81,3,1,3,2,3.0,1,1,2,0,1.0,2.0,1,70,5.2
22,98,2,3,0,5,69,1,0,1,1,3.0,0,-1,4,0,1.0,2.0,0,69,3.6666666666666665
16,73,2,2,0,7,95,2,1,1,1,2.0,0,-1,4,0,2.0,1.0,1,65,2.0
22,98,2,1,1,7,52,2,0,3,2,2.0,0,1,3,0,2.0,1.0,0,70,2.75
29,96,2,1,1,7,72,2,1,1,1,2.0,0,1,3,0,1.0,2.0,1,71,3.625
20,71,2,2,1,7,88,2,1,1,1,1.0,0,0,4,0,2.0,1.0,0,65,2.5
29,92,1,2,0,4,91,2,1,2,2,2.0,0,-1,1,0,3.0,1.0,0,72,5.8
4,100,3,3,1,8,60,3,1,0,2,3.0,1,1,4,0,2.0,2.0,1,69,0.4444444444444444
25,70,2,2,0,7,52,2,1,1,2,2.0,0,1,3,0,3.0,1.0,0,66,3.125
21,77,1,2,1,7,90,2,1,4,2,2.0,1,0,3,0,3.0,2.0,1,68,2.625
18,81,3,1,1,8,71,2,1,0,2,2.0,0,0,3,0,1.0,2.0,0,65,2.0
21,72,2,2,1,5,57,2,1,1,3,2.0,0,0,5,1,2.0,2.0,1,64,3.5
8,61,2,2,1,7,54,2,1,1,3,2.0,0,1,3,0,2.0,1.0,1,60,1.0
19,69,2,3,1,7,82,3,1,1,1,2.0,0,-1,2,0,1.0,1.0,1,65,2.375
22,71,3,2,0,6,79,3,1,1,1,1.0,0,1,3,0,1.0,1.0,1,66,3.142857142857143
29,78,3,3,1,4,93,1,1,5,2,3.0,0,0,3,0,2.0,1.0,1,74,5.8
17,67,2,2,1,5,52,3,1,2,2,2.0,1,-1,3,0,1.0,3.0,0,62,2.8333333333333335
15,95,2,2,0,7,93,2,1,2,1,2.0,0,1,4,0,2.0,2.0,1,70,1.875
17,88,2,3,1,7,94,1,1,0,2,2.0,0,0,3,0,1.0,1.0,1,69,2.125
25,63,2,3,1,7,72,2,1,3,2,3.0,1,-1,4,0,2.0,3.0,1,67,3.125
22,86,1,1,0,6,54,2,1,2,2,2.0,0,0,0,0,1.0,2.0,1,64,3.142857142857143
17,86,2,3,0,5,97,3,1,3,3,2.0,0,0,3,0,2.0,1.0,1,71,2.8333333333333335
23,98,2,1,1,7,54,1,1,0,2,2.0,0,-1,3,0,2.0,1.0,0,68,2.875
21,60,3,2,0,7,80,2,1,0,2,3.0,0,0,4,1,2.0,1.0,1,64,2.625
26,70,2,1,1,8,75,2,1,1,2,1.0,1,0,4,1,1.0,3.0,0,63,2.888888888888889
16,97,2,2,1,6,92,1,1,0,3,2.0,1,1,4,0,2.0,1.0,1,71,2.2857142857142856
18,97,3,2,1,4,75,1,1,0,1,2.0,0,1,3,0,1.0,2.0,1,69,3.6
18,89,3,2,1,4,73,2,1,3,3,2.0,1,1,2,0,2.0,1.0,0,100,3.6
11,91,2,2,0,6,94,2,1,3,2,2.0,0,0,3,0,2.0,2.0,1,68,1.5714285714285714
22,64,1,2,0,7,98,1,0,1,2,2.0,0,-1,3,0,1.0,1.0,1,62,2.75
22,81,2,2,1,7,77,1,1,2,2,2.0,0,1,3,0,3.0,3.0,0,68,2.75
20,69,3,3,1,6,73,2,1,2,1,2.0,1,1,3,0,1.0,3.0,1,66,2.857142857142857
19,67,1,2,0,5,92,3,1,0,2,2.0,0,1,3,0,2.0,1.0,1,64,3.1666666666666665
12,92,2,2,0,4,92,3,1,2,2,3.0,0,0,3,1,1.0,2.0,1,67,2.4
17,65,2,3,1,8,66,2,1,1,3,3.0,0,0,4,1,3.0,2.0,0,65,1.8888888888888888
18,79,2,2,1,7,79,2,1,0,1,3.0,1,0,3,0,2.0,3.0,1,65,2.25
15,98,3,2,0,6,58,3,1,0,1,3.0,0,1,3,0,2.0,1.0,1,69,2.142857142857143
19,67,2,2,0,5,82,3,1,1,1,1.0,1,-1,3,0,1.0,1.0,1,63,3.1666666666666665
22,99,2,1,1,6,92,1,1,3,2,2.0,0,-1,4,0,3.0,2.0,1,72,3.142857142857143
31,100,2,2,0,7,59,2,1,2,3,3.0,0,1,5,0,3.0,2.0,1,76,3.875
21,82,2,3,1,7,66,3,1,3,1,2.0,0,1,3,1,2.0,1.0,0,69,2.625
22,67,2,2,1,7,72,3,1,3,1,3.0,0,1,2,0,3.0,2.0,0,67,2.75
20,73,3,2,1,9,92,2,1,2,2,3.0,0,1,3,0,2.0,1.0,1,69,2.0
8,77,3,2,1,6,87,2,1,0,1,2.0,0,0,2,0,1.0,2.0,1,63,1.1428571428571428
20,72,2,2,0,9,66,2,1,3,1,3.0,1,1,3,0,3.0,1.0,1,67,2.0
20,71,1,3,1,7,62,3,1,2,2,2.0,0,-1,5,0,2.0,1.0,1,66,2.5
35,99,3,3,1,7,85,1,1,2,2,3.0,1,0,2,0,3.0,1.0,0,79,4.375
19,66,2,2,0,8,74,2,1,1,3,2.0,0,0,3,0,1.0,1.0,0,64,2.111111111111111
22,89,3,3,1,6,80,2,1,1,3,3.0,0,1,3,0,1.0,1.0,0,73,3.142857142857143
20,60,1,3,0,7,82,3,1,2,1,3.0,0,1,4,1,1.0,1.0,1,63,2.5
13,84,2,2,0,5,78,2,1,1,1,3.0,0,1,2,0,1.0,1.0,1,65,2.1666666666666665
27,97,1,3,1,8,81,2,1,0,3,2.0,0,1,5,0,1.0,1.0,0,73,3.0
25,72,3,3,1,8,94,1,1,2,1,2.0,1,1,4,0,2.0,2.0,0,70,2.7777777777777777
25,67,3,2,0,9,93,3,1,2,1,3.0,0,1,3,1,1.0,1.0,0,68,2.5
15,86,2,2,1,7,57,2,1,1,2,2.0,0,-1,3,0,2.0,1.0,1,65,1.875
28,89,1,3,1,9,79,3,1,0,1,2.0,1,1,1,0,2.0,2.0,0,71,2.8
12,88,1,2,0,6,72,1,1,2,2,2.0,0,1,2,0,2.0,3.0,1,64,1.7142857142857142
24,73,2,3,1,8,64,2,1,4,3,2.0,1,0,3,1,2.0,2.0,1,68,2.6666666666666665
33,70,2,2,1,6,82,1,1,1,1,3.0,0,0,4,0,2.0,1.0,1,69,4.714285714285714
14,98,2,2,0,7,76,2,1,0,2,3.0,1,1,4,0,2.0,2.0,0,69,1.75
17,97,2,2,0,8,89,2,1,1,1,2.0,0,0,4,0,1.0,3.0,1,69,1.8888888888888888
21,78,2,2,1,10,55,2,1,1,3,1.0,1,1,2,0,2.0,1.0,1,67,1.9090909090909092
17,94,1,2,1,8,65,1,1,4,2,2.0,0,0,6,0,1.0,3.0,0,68,1.8888888888888888
11,78,2,3,1,8,51,2,1,2,1,2.0,0,0,3,0,3.0,1.0,1,64,1.2222222222222223
20,77,2,2,0,6,87,1,1,0,1,3.0,0,1,4,0,1.0,1.0,0,66,2.857142857142857
14,66,3,1,0,7,96,2,1,3,1,3.0,0,-1,3,0,1.0,1.0,1,63,1.75
23,77,2,2,1,7,79,2,1,0,1,3.0,0,0,2,0,1.0,2.0,1,66,2.875
14,81,2,2,0,9,81,2,1,1,1,3.0,1,-1,3,0,3.0,1.0,0,66,1.4
29,61,2,3,1,7,52,1,1,3,1,2.0,1,1,3,0,2.0,1.0,0,67,3.625
15,78,3,3,0,9,75,1,1,1,1,2.0,0,-1,1,0,1.0,1.0,1,65,1.5
18,91,1,2,1,5,76,2,1,1,2,2.0,0,0,3,0,1.0,1.0,0,68,3.0
25,87,2,1,0,9,52,3,1,1,1,3.0,1,1,2,0,1.0,1.0,1,68,2.5
13,85,3,2,0,6,89,2,1,0,3,2.0,1,0,1,1,1.0,1.0,1,65,1.8571428571428572
21,96,2,2,0,8,64,3,1,2,2,3.0,0,0,0,0,2.0,1.0,1,71,2.3333333333333335
28,61,2,3,0,6,86,3,1,1,1,2.0,1,-1,3,1,3.0,3.0,1,65,4.0
10,82,2,1,0,8,70,2,1,3,1,3.0,0,1,1,1,3.0,1.0,0,64,1.1111111111111112
21,91,3,2,0,6,100,2,1,0,3,2.0,1,0,2,0,3.0,1.0,0,72,3.0
22,82,2,2,0,9,61,2,1,2,1,2.0,0,-1,2,1,1.0,1.0,0,65,2.2
25,73,2,3,0,8,53,3,0,0,1,3.0,1,-1,5,0,3.0,1.0,0,66,2.7777777777777777
13,65,1,3,0,6,99,2,1,0,1,2.0,1,-1,4,0,1.0,1.0,1,61,1.8571428571428572
12,96,1,3,1,8,62,2,1,2,2,3.0,0,-1,3,0,2.0,1.0,0,68,1.3333333333333333
23,79,3,3,1,8,82,1,1,3,2,2.0,0,-1,3,1,3.0,2.0,0,69,2.5555555555555554
22,95,2,3,1,6,69,2,1,1,1,2.0,0,1,3,0,2.0,1.0,0,72,3.142857142857143
22,83,2,3,1,5,82,2,1,2,1,3.0,0,1,3,0,3.0,1.0,0,71,3.6666666666666665
22,87,3,3,0,5,80,1,1,2,1,3.0,0,-1,3,0,1.0,1.0,0,70,3.6666666666666665
16,92,2,3,1,5,85,1,1,1,1,2.0,0,0,2,0,1.0,2.0,1,68,2.6666666666666665
21,86,1,2,1,5,51,2,1,2,1,3.0,0,1,2,0,1.0,2.0,0,67,3.5
22,76,2,2,1,8,92,2,1,1,1,3.0,0,0,4,0,1.0,1.0,0,68,2.4444444444444446
16,81,2,2,1,8,74,2,1,3,2,2.0,0,1,2,0,3.0,1.0,0,68,1.7777777777777777
31,92,2,2,1,4,76,2,1,2,2,3.0,0,1,4,1,1.0,3.0,1,72,6.2
23,75,1,3,0,6,71,1,1,0,2,2.0,0,0,2,0,2.0,1.0,1,65,3.2857142857142856
13,76,2,3,0,5,99,1,1,2,2,2.0,1,1,4,0,1.0,1.0,0,66,2.1666666666666665
24,64,2,2,1,8,90,3,1,0,1,3.0,0,-1,3,0,1.0,1.0,1,65,2.6666666666666665
14,97,2,2,1,6,66,2,1,2,2,2.0,0,-1,3,1,2.0,1.0,0,67,2.0
25,64,2,3,0,5,89,1,1,2,2,2.0,0,0,4,0,2.0,3.0,1,66,4.166666666666667
27,86,2,2,0,7,72,1,1,1,2,3.0,0,1,4,0,1.0,3.0,1,69,3.375
15,77,2,2,1,8,94,1,1,0,3,3.0,0,1,3,0,2.0,2.0,1,66,1.6666666666666667
26,76,2,3,1,6,52,2,1,4,3,1.0,0,0,3,0,1.0,1.0,1,69,3.7142857142857144
22,87,3,1,1,7,68,2,0,0,1,2.0,0,0,2,0,1.0,1.0,1,67,2.75
25,63,3,2,1,6,71,2,1,1,2,1.0,1,1,3,0,1.0,1.0,1,66,3.5714285714285716
31,84,2,2,1,9,87,2,1,2,1,2.0,1,0,3,0,2.0,3.0,1,71,3.1
19,91,3,1,0,6,59,2,1,5,2,3.0,0,0,4,0,2.0,2.0,1,70,2.7142857142857144
15,93,3,2,0,6,64,2,1,2,2,3.0,0,1,4,0,3.0,1.0,1,71,2.142857142857143
15,67,2,2,1,7,86,3,1,1,3,2.0,1,1,3,0,3.0,1.0,1,66,1.875
15,96,2,2,0,7,54,3,0,3,2,3.0,0,-1,2,0,1.0,1.0,1,67,1.875
20,86,3,1,0,8,60,2,1,1,2,2.0,0,0,4,1,2.0,3.0,0,66,2.2222222222222223
22,95,2,3,0,9,88,1,1,0,1,3.0,0,1,2,0,3.0,1.0,1,72,2.2
22,79,2,2,0,9,94,2,1,1,2,2.0,0,1,3,0,1.0,1.0,1,68,2.2
25,82,2,2,0,6,86,2,0,3,1,3.0,0,1,3,0,1.0,1.0,0,69,3.5714285714285716
20,97,2,2,1,7,76,1,1,2,1,1.0,1,1,3,0,3.0,1.0,1,71,2.5
29,96,2,2,1,9,55,1,0,0,2,2.0,0,0,2,0,3.0,3.0,0,70,2.9
18,78,2,2,0,9,91,3,1,2,3,1.0,0,0,4,0,2.0,3.0,0,67,1.8
36,71,2,2,1,6,56,2,1,2,3,2.0,0,1,2,0,1.0,3.0,1,69,5.142857142857143
24,76,1,3,0,8,69,1,1,2,2,2.0,0,0,1,0,1.0,2.0,1,65,2.6666666666666665
15,76,3,3,0,8,53,2,1,1,1,2.0,0,0,4,0,2.0,1.0,1,65,1.6666666666666667
14,71,2,2,1,8,85,1,1,2,2,3.0,0,0,4,0,1.0,1.0,1,64,1.5555555555555556
23,71,1,1,1,9,75,1,1,1,1,2.0,0,-1,2,0,2.0,1.0,1,63,2.3
19,94,1,2,1,5,95,2,1,3,1,1.0,0,1,2,0,1.0,2.0,1,69,3.1666666666666665
24,63,2,1,1,6,57,2,1,1,1,3.0,1,0,5,0,2.0,1.0,0,64,3.4285714285714284
23,87,3,3,1,8,91,3,1,0,3,2.0,1,1,3,0,1.0,2.0,1,72,2.5555555555555554
20,67,1,2,1,7,76,2,1,0,2,2.0,0,0,4,0,1.0,1.0,1,63,2.5
15,74,1,3,1,4,68,1,1,3,1,2.0,0,1,3,0,1.0,1.0,0,64,3.0
11,62,2,3,1,5,82,2,1,3,3,2.0,1,0,4,0,2.0,2.0,1,64,1.8333333333333333
17,71,2,2,1,8,90,2,1,5,2,2.0,0,1,1,0,3.0,3.0,1,67,1.8888888888888888
25,91,2,2,0,8,72,1,1,2,2,3.0,0,1,0,0,3.0,1.0,1,71,2.7777777777777777
21,95,2,2,0,5,62,3,1,1,2,1.0,0,1,4,0,1.0,1.0,1,70,3.5
13,69,2,1,1,9,96,1,1,0,3,2.0,1,0,4,0,1.0,3.0,0,61,1.3
21,79,2,3,1,7,66,1,1,2,1,2.0,0,-1,4,0,2.0,2.0,1,67,2.625
22,79,3,2,0,5,100,2,1,4,3,3.0,0,-1,3,0,2.0,1.0,1,72,3.6666666666666665
15,95,1,1,1,6,88,1,1,1,1,2.0,0,-1,5,0,1.0,1.0,1,66,2.142857142857143
21,91,2,3,1,5,84,2,1,1,3,1.0,0,0,2,0,1.0,1.0,1,70,3.5
20,81,3,2,1,6,51,3,0,3,2,2.0,0,0,4,1,1.0,1.0,1,67,2.857142857142857
13,87,3,1,1,4,72,2,1,2,2,3.0,0,0,3,0,1.0,2.0,0,67,2.6
22,94,1,2,1,7,75,3,1,2,3,2.0,0,0,2,0,2.0,1.0,0,71,2.75
23,60,3,2,1,8,69,2,1,1,1,2.0,1,1,4,0,2.0,1.0,1,66,2.5555555555555554
26,76,2,2,1,5,57,2,1,1,2,2.0,0,1,4,0,1.0,1.0,1,68,4.333333333333333
26,96,2,2,1,7,68,2,1,3,3,2.0,1,1,3,0,2.0,1.0,0,74,3.25
12,90,2,1,1,6,54,2,0,1,3,2.0,0,0,3,0,1.0,1.0,1,64,1.7142857142857142
14,82,2,2,0,8,65,2,1,1,1,2.0,1,1,3,0,2.0,1.0,1,65,1.5555555555555556
23,81,1,2,1,4,54,2,1,1,1,2.0,0,0,3,0,2.0,1.0,1,66,4.6
23,74,2,3,1,8,88,1,1,0,2,3.0,0,-1,3,1,1.0,1.0,1,66,2.5555555555555554
23,81,2,1,0,4,84,2,1,2,2,2.0,0,1,5,0,1.0,1.0,1,68,4.6
43,86,3,2,1,7,97,2,1,2,2,3.0,0,1,1,0,1.0,1.0,0,78,5.375
23,77,2,3,1,6,69,1,1,1,2,2.0,1,1,2,0,1.0,2.0,0,67,3.2857142857142856
27,89,2,3,1,6,89,2,1,3,2,2.0,1,1,3,0,1.0,1.0,1,74,3.857142857142857
26,94,2,3,0,5,79,3,1,1,1,3.0,0,1,2,0,3.0,1.0,1,74,4.333333333333333
24,66,2,1,0,9,82,1,1,1,2,2.0,0,0,2,1,1.0,1.0,0,62,2.4
18,78,3,2,1,5,77,2,0,2,2,2.0,0,0,4,0,1.0,3.0,1,66,3.0
25,76,2,2,1,5,89,3,1,3,2,3.0,0,0,3,0,1.0,3.0,0,69,4.166666666666667
15,87,2,3,1,10,52,2,1,2,1,3.0,1,1,3,0,2.0,1.0,1,68,1.3636363636363635
19,70,2,1,0,7,54,3,1,0,2,2.0,0,1,2,1,1.0,2.0,1,89,2.375
17,86,3,1,0,5,55,1,0,2,3,2.0,1,0,4,0,2.0,1.0,1,66,2.8333333333333335
20,95,1,2,1,7,64,1,0,2,2,3.0,0,0,3,0,1.0,1.0,0,68,2.5
34,77,2,1,1,7,80,1,1,0,2,2.0,0,1,3,0,1.0,1.0,1,69,4.25
9,96,2,2,1,4,82,3,0,0,1,2.0,0,1,4,0,2.0,1.0,1,67,1.8
24,100,3,3,1,6,86,1,1,2,2,2.0,1,1,5,0,1.0,1.0,1,75,3.4285714285714284
10,64,2,3,0,7,64,3,1,0,2,2.0,0,1,4,1,1.0,2.0,0,60,1.25
17,69,3,2,1,9,83,2,1,2,2,3.0,1,1,4,1,2.0,2.0,0,66,1.7
27,98,1,3,1,7,56,1,1,1,3,2.0,1,1,3,0,2.0,1.0,0,73,3.375
20,98,2,1,0,7,50,1,1,1,2,3.0,1,0,2,0,1.0,1.0,0,68,2.5
14,64,2,2,1,6,85,2,1,0,2,2.0,0,0,3,0,1.0,1.0,1,62,2.0
16,61,2,2,0,9,86,1,1,2,1,3.0,0,1,2,0,1.0,1.0,1,62,1.6
24,66,3,1,1,8,81,3,1,1,2,2.0,0,0,4,0,1.0,3.0,1,65,2.6666666666666665
16,100,3,1,1,8,63,3,1,2,1,2.0,0,-1,3,0,1.0,2.0,1,69,1.7777777777777777
21,67,2,2,0,7,96,1,1,3,1,2.0,0,0,2,0,1.0,3.0,0,64,2.625
20,80,2,3,0,5,94,2,1,0,1,1.0,1,1,4,1,3.0,2.0,0,67,3.3333333333333335
16,94,3,3,1,9,76,2,1,0,1,3.0,0,0,2,0,1.0,1.0,1,70,1.6
33,61,2,2,0,7,99,3,1,2,2,3.0,0,0,3,0,2.0,1.0,0,70,4.125
24,84,3,1,0,7,65,1,1,3,2,3.0,0,1,3,0,1.0,1.0,0,69,3.0
8,71,3,1,0,8,75,2,1,0,2,3.0,0,1,3,0,1.0,1.0,1,61,0.8888888888888888
21,94,2,2,0,7,96,1,1,0,2,2.0,1,0,2,1,3.0,2.0,1,69,2.625
16,71,3,2,1,5,73,2,1,1,2,2.0,0,0,0,1,1.0,1.0,1,63,2.6666666666666665
25,87,2,1,1,7,74,1,1,0,2,3.0,0,0,4,1,1.0,1.0,1,67,3.125
15,87,1,2,0,4,54,2,1,1,2,2.0,0,0,6,0,1.0,2.0,1,65,3.0
19,69,2,2,1,7,61,3,1,3,3,3.0,0,0,4,0,1.0,2.0,1,66,2.375
23,61,1,2,0,9,58,2,1,4,2,2.0,0,0,2,0,1.0,1.0,1,63,2.3
25,76,2,3,1,4,78,2,1,2,2,2.0,1,-1,3,0,1.0,2.0,0,68,5.0
13,72,3,3,0,7,66,2,1,0,1,3.0,0,0,4,0,3.0,1.0,1,65,1.625
18,92,1,2,1,8,54,2,1,1,2,2.0,0,1,3,0,1.0,1.0,1,67,2.0
17,92,1,1,1,8,75,2,1,2,2,3.0,0,0,3,0,3.0,1.0,0,68,1.8888888888888888
16,78,2,3,0,6,83,2,1,0,1,1.0,0,0,3,1,2.0,1.0,1,64,2.2857142857142856
31,84,2,2,0,5,87,3,1,0,2,2.0,1,1,3,0,2.0,2.0,1,71,5.166666666666667
22,84,2,2,1,6,92,1,1,0,2,2.0,0,0,5,0,1.0,1.0,0,69,3.142857142857143
12,93,2,2,1,9,74,1,1,1,2,2.0,0,0,3,0,3.0,2.0,1,67,1.2
26,77,1,2,0,4,70,1,1,2,3,1.0,0,0,3,1,2.0,2.0,0,65,5.2
33,71,1,2,0,5,84,2,1,1,2,2.0,0,1,2,0,1.0,1.0,1,68,5.5
26,71,3,2,1,6,51,1,0,1,3,2.0,1,1,3,0,3.0,2.0,1,67,3.7142857142857144
11,81,2,2,1,6,82,3,1,3,2,3.0,0,0,4,0,1.0,1.0,1,67,1.5714285714285714
17,78,2,3,1,7,70,2,0,2,1,3.0,0,1,3,0,1.0,1.0,1,66,2.125
28,78,3,2,0,9,73,3,1,2,2,2.0,0,0,4,0,2.0,2.0,0,70,2.8
16,64,3,1,1,5,65,2,1,3,2,3.0,1,1,4,0,3.0,2.0,0,65,2.6666666666666665
23,89,1,1,1,7,56,1,1,4,2,1.0,1,1,4,0,3.0,1.0,0,69,2.875
